Name,Categories,ReviewsNum,Rating,Zip,Latitude,Longitude,Address
Far Western Tavern,"American (Traditional), Cocktail Bars, Wine Bars",377,3.5,93455,34.864804,-120.444466,"300 E Clark Ave Orcutt, CA 93455"
Teddy's By The Sea,"Seafood, Burgers, Bars",374,4.5,93013,34.3982,-119.51704,"5096 Carpinteria Ave Carpinteria, CA 93013"
Nikka Fish Market and Grill,"Seafood, American (Traditional)",374,4,93117,34.44173414,-119.8243779,"5722 Calle Real Goleta, CA 93117"
The Bit O'Denmark,"Scandinavian, Modern European",373,3.5,93463,34.59529,-120.13863,"473 Alisal Rd Solvang, CA 93463"
Hitching Post,"Barbeque, Steakhouses",373,4.5,93429,34.838204,-120.530416,"3325 Point Sal Rd Casmalia, CA 93429"
Leonardo's Ristorante & Pizzeria,"Wine Bars, Italian, Beer Bar",370,4.5,93463,34.600224,-120.128248,"632 Alamo Pintado Rd Solvang, CA 93463"
The Spot,"American (Traditional), Burgers, Mexican",367,3.5,93013,34.39573,-119.52299,"389 Linden Ave Carpinteria, CA 93013"
Sakana Sushi Bar & Japanese,"Sushi Bars, Japanese",365,4,93108,34.422264,-119.650288,"1046 Coast Village Rd Ste K Santa Barbara, CA 93108"
Saigon Vietnamese Restaurant,"Vietnamese, Seafood, Noodles",361,3.5,93101,34.4243,-119.70525,"1230 State St Unit A Santa Barbara, CA 93101"
Bagel Cafe,"Bagels, Cafes",357,4,93117,34.41077,-119.85702,"6551 Trigo Rd Goleta, CA 93117"
Brother's Restaurant At the Red Barn,"American (Traditional), Bars, Salad",354,4.5,93460,34.61307,-120.0821753,"3539 Sagunto St Santa Ynez, CA 93460"
The Pantry On Park,"American (Traditional), Breakfast & Brunch",348,4,93454,34.94471515,-120.4356631,"726 S Broadway Santa Maria, CA 93454"
Lucky's,"Steakhouses, American (Traditional), Cocktail Bars",345,4,93108,34.42123945,-119.6410275,"1279 Coast Village Rd Montecito, CA 93108"
Figueroa Mountain Brewing Company,Breweries,341,4.5,93427,34.61066,-120.2023,"45 Industrial Way Buellton, CA 93427"
Seven Bar & Kitchen,"Bars, American (New), Music Venues",340,4,93101,34.4149562,-119.6913163,"224 Helena St Santa Barbara, CA 93101"
Zen Yai Thai Cuisine,Thai,337,4,93101,34.41625,-119.69526,"425 State St Santa Barbara, CA 93101"
China Pavilion,"Desserts, Coffee & Tea, Dim Sum",334,3.5,93101,34.42262,-119.70562,"1202 Chapala St Santa Barbara, CA 93101"
Dave's Dogs Grill,Hot Dogs,333,4.5,93111,34.4380246,-119.7896264,"149 S Turnpike Rd Santa Barbara, CA 93111"
Your Choice Restaurant,"Thai, Ice Cream & Frozen Yogurt, Chicken Wings",332,4,93105,34.4405449,-119.73707,"3404 State St Santa Barbara, CA 93105"
Toscana,"Pizza, Italian, Wine Bars",331,4,93463,34.59564972,-120.1384735,"485 Alisal Rd Ste 163 Solvang, CA 93463"
South Coast Deli-Goleta,"Delis, Sandwiches",329,4.5,93111,34.4355666,-119.8092569,"185 S Patterson Ave Ste A Goleta, CA 93111"
Shalhoob's Funk Zone Patio,"Tapas/Small Plates, American (New), Venues & Event Spaces",328,4.5,93101,34.41628,-119.69046,"220 Gray Ave Santa Barbara, CA 93101"
Red Pepper Restaurant,Chinese,326,4,93117,34.43416,-119.82858,"282 Orange Ave Goleta, CA 93117"
South Coast Deli- Chapala,Delis,324,4.5,93101,34.42506737,-119.7091551,"1436 Chapala St Santa Barbara, CA 93101"
La Picosita,Mexican,322,4,93454,34.9616723,-120.4358676,"923 N Broadway Santa Maria, CA 93454"
Buena Onda,"Argentine, Latin American, Empanadas",321,5,93103,34.42469,-119.68673,"724 E Haley St Santa Barbara, CA 93103"
MIZZA,"Italian, Pizza, Salad",320,4,93101,34.422807,-119.703594,"1112 State St Santa Barbara, CA 93101"
TAP Thai Cuisine,Thai,320,3.5,93105,34.440696,-119.732304,"3130 State St Santa Barbara, CA 93105"
Trattoria Vittoria,Italian,319,4,93101,34.424871,-119.704733,"30 E Victoria St Santa Barbara, CA 93101"
Eddie's Grill,"Salad, Burgers, Sandwiches",318,4.5,93436,34.6600827,-120.4582476,"1325 N H St Lompoc, CA 93436"
The Original Habit Burger Grill,Burgers,318,4,93117,34.43544,-119.82466,"5735 Hollister Ave Goleta, CA 93117"
Helena Avenue Bakery,"Bakeries, Breakfast & Brunch, Coffee & Tea",317,4.5,93101,34.4145034,-119.689911,"131 Anacapa St Ste C Santa Barbara, CA 93101"
Stonehouse Restaurant,American (New),317,4.5,93108,34.446845,-119.623092,"900 San Ysidro Ln San Ysidro Ranch Santa Barbara, CA 93108"
Trattoria Uliveto,"Italian, Bars",317,4,93455,34.863151,-120.44741,"285 S Broadway St Old Orcutt, CA 93455"
Hana Kitchen,"Asian Fusion, Bubble Tea, Vegetarian",315,3,93117,34.41325182,-119.8564651,"6558 Pardall Rd Isla Vista, CA 93117"
Flor De Maiz,"Cocktail Bars, Mexican",314,4,93101,34.41319174,-119.6884379,"29 E Cabrillo Blvd Santa Barbara, CA 93101"
Choppa Poke,"Poke, Asian Fusion, Seafood",314,4,93117,34.43039277,-119.8722246,"7000 Hollister Ave Ste 102 Goleta, CA 93117"
Buddha Bowls,"American (New), Specialty Food",311,4.5,93117,34.41293,-119.85731,"901 Embarcadero Del Mar Isla Vista, CA 93117"
Oku,"Sushi Bars, Asian Fusion, Cocktail Bars",310,4,93101,34.413204,-119.688437,"29 E Cabrillo Blvd Santa Barbara, CA 93101"
Metropulos Fine Foods,"Specialty Food, Delis, Sandwiches",310,4.5,93101,34.4164,-119.68949,"216 E Yanonali St Santa Barbara, CA 93101"
Jill's Place,"Steakhouses, American (New), Bars",308,4,93101,34.42078,-119.69534,"632 Santa Barbara St Santa Barbara, CA 93101"
Esau's Cafe,"Breakfast & Brunch, Burgers, Fish & Chips",306,4,93013,34.39649,-119.52181,"507 Linden Ave Carpinteria, CA 93013"
Saigon Noodle House,"Vietnamese, Noodles",304,3,93118,34.42928862,-119.8671267,"6831 Hollister Ave Ste L Goleta, CA 93118"
Solvang Brewing Company,"Breweries, American (Traditional)",303,3,93436,34.64196015,-120.4576557,"234 North H St Lompoc, CA 93436"
Green Table,"Juice Bars & Smoothies, Gluten-Free, Acai Bowls",301,4.5,93101,34.4178719,-119.7007018,"113 W De La Guerra St Santa Barbara, CA 93101"
Zookers Cafe,"Burgers, American (Traditional), Beer Bar",299,4.5,93013,34.39543605,-119.5140181,"5404 Carpinteria Ave Carpinteria, CA 93013"
Pho 805,Vietnamese,299,4,93463,34.594285,-120.139051,"435 Alisal Rd Solvang, CA 93463"
Mikado Sushi Santa Maria,"Japanese, Sushi Bars",299,4,93454,34.951328,-120.437916,"209 Town Ctr W Santa Maria, CA 93454"
Jaffa Cafe,Mediterranean,298,4.5,93454,34.9141529,-120.4348329,"2530 S Broadway Ste A Santa Maria, CA 93454"
Santa Barbara Fish Market,Seafood Markets,297,4,93109,34.40348268,-119.6936624,"117 Harbor Way Unit A Santa Barbara, CA 93109"
American Host Restaurant,"Diners, Breakfast & Brunch",296,4.5,93436,34.63967,-120.45953,"113 N I St Ste D Lompoc, CA 93436"
La Playa Azul Cafe,Mexican,295,4,93101,34.4228898,-119.6985434,"914 Santa Barbara St Santa Barbara, CA 93101"
Solvang Bakery,"Bakeries, Desserts, Cupcakes",292,4,93463,34.59423447,-120.1383209,"438 Alisal Rd Solvang, CA 93463"
Kimchi Korean BBQ,"Korean, Barbeque",292,4,93105,34.4406899,-119.73238,"3132 State St Santa Barbara, CA 93105"
Sachi Ramen And Robata Bar,"Ramen, Sushi Bars",292,4,93101,34.41803268,-119.6999646,"721 Chapala St Santa Barbara, CA 93101"
La Botte Italian Restaurant,Italian,287,4,93436,34.6512172,-120.4580409,"825 N H St Lompoc, CA 93436"
Blast 825 Brewery,"Brewpubs, American (Traditional)",285,4,93455,34.8636802,-120.4474049,"241 S Broadway St Ste 101 Orcutt, CA 93455"
Cracker Barrel Old Country Store,"American (Traditional), Breakfast & Brunch, Southern",285,3.5,93454,34.92411,-120.421472,"905 E Betteravia Rd Santa Maria, CA 93454"
Cugini's Pizzeria & Trattoria,"Italian, Pizza, Sandwiches",284,4.5,93455,34.920483,-120.433719,"230 E Betteravia Rd Ste G Santa Maria, CA 93455"
Cool Hand Luke's,"Steakhouses, Wine Bars, Beer Bar",284,3.5,93457,34.93770324,-120.416925,"1321 Nicholson Ave Santa Maria, CA 93457"
The Creekside Restaurant & Bar,"American (New), Barbeque, Burgers",284,4,93110,34.44014,-119.77195,"4444 Hollister Ave Santa Barbara, CA 93110"
Floriano's Mexican Food,"Mexican, Breakfast & Brunch",279,4,93436,34.65639,-120.45799,"1129 N H St Lompoc, CA 93436"
Panino,"Delis, Sandwiches",277,4,93441,34.66568,-120.11463,"2900 Grand Ave Los Olivos, CA 93441"
Galanga Thai Restaurant,Thai,276,3.5,93101,34.41673,-119.6961,"507 State St Santa Barbara, CA 93101"
Buffalo Wild Wings,"Chicken Wings, Sports Bars, American (Traditional)",272,2,93454,34.9240002,-120.422489,"795 East Betteravia Rd Santa Maria, CA 93454"
Arnoldi's Cafe,"Italian, Bocce Ball",271,4,93101,34.4232749,-119.6911442,"600 Olive St Santa Barbara, CA 93101"
Urbane Cafe,"Sandwiches, Salad, American (New)",270,4.5,93454,34.924163,-120.424142,"655 E Betteravia Rd Santa Maria, CA 93454"
Vegan GreenGO,"Mexican, Vegan, Vegetarian",268,4,93105,34.440123,-119.740862,"3613 State St Santa Barbara, CA 93105"
Good Seed Coffee Boutique,"Coffee & Tea, Bakeries, Cafes",267,4.5,93463,34.59615557,-120.1415413,"1607 Mission Dr Solvang, CA 93463"
Fresco Cafe,"American (Traditional), Italian, Breakfast & Brunch",265,4,93105,34.43941812,-119.7514181,"3987 State St Ste B Santa Barbara, CA 93105"
Tower Pizza,"Pizza, Bars, Italian",264,4,93463,34.594357,-120.138617,"436 Alisal Rd Ste C & D Solvang, CA 93463"
Clementine's Steak House,Steakhouses,262,4,93013,34.40140152,-119.524292,"4631 Carpinteria Ave Carpinteria, CA 93013"
Oliver's,Vegan,261,4.5,93108,34.4212648,-119.6448233,"1198 Coast Village Rd Santa Barbara, CA 93108"
